Account Name,Building Name,Floor,Room Name,Room Code,Commissioned Date (Year),Planned Lifecycle (Years),Lifecycle Status,Total Initial Capital Cost,Total Future Cost
Clearvista,Headquarters,1,Experience Center,101,2026,5,Active,"$ 9,094","$ 10,542"
,,,,102,2026,7,Active,"$ 72,849","$ 89,595"
,,2,MDF,205,2024,5,Active,"$ 6,583","$ 7,632"
,,,Operations Department,201,2026,3,Active,"$ 9,275","$ 10,135"
Henkel of America,-,-,Boardroom,-,2019,7,Planned,"$ 3,451","$ 4,244"
,,,Engineering Conference Room,-,2019,7,Planned,"$ 5,639","$ 6,935"
,,,HR Conference Room,-,2019,7,Planned,"$ 5,752","$ 7,074"
,,,Maintenance Planning,-,2019,7,Planned,"$ 11,140","$ 13,700"
Onset Financial,Draper Office,2,Executive Boardroom,-,2025,7,Active,"$ 79,838","$ 98,191"
,,,Fish Bowl Conf Room,-,2025,7,Active,"$ 3,859","$ 4,746"
,St. George Office,2,2nd Floor Conf Room,-,2025,7,Active,"$ 20,655","$ 25,403"
,,3,3rd Floor Conf Room,-,2025,7,Active,"$ 10,059","$ 12,371"
,,,Britain Conf Room,-,2025,7,Active,"$ 3,514","$ 4,322"
,,4,4th Floor Conference Room,-,2025,7,Active,"$ 4,100","$ 5,042"
,,,CEO Room,-,2025,7,Active,"$ 8,830","$ 10,860"
,,,War Room,-,2025,7,Active,"$ 3,514","$ 4,322"
University Health Care,Helix,-,Building Wide Digital Signage,-,2024,6,Active,"$ 50,755","$ 60,605"
,,,Private Office / Wireless Sharing Display - Unit 24 of 24,-,2024,6,Active,"$ 3,047","$ 3,638"
,,1,Huddle 1C2000,1C2000,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 1N132,1N132,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle 1N202,1N202,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle GS101,GS101,2024,6,Active,"$ 2,066","$ 2,467"
,,,Huddle GS103,GS103,2024,6,Active,"$ 2,066","$ 2,467"
,,,Large Conf 1C115,1C115,2024,6,Active,"$ 32,261","$ 38,521"
,,,Lecture/Conference GS150/GS155,GS150/GS155,2024,6,Active,"$ 146,962","$ 175,480"
