al.Manufacturer,al.Model Number,al.Product Type,al.IP Address,al.MAC Address,al.PO Number,acc.Account Name,Lifecycle Asset Type,lm.Building Name,lm.Room Name,lm.Room Code,Install Date,Replacement Year
Crestron,TSW-760,User Interface,10.88.41.137,00.10.7f.e7.2f.96,,University of Utah,Classroom,ARCH,Arch 127,127,"Jan 01, 2019",2026
Panasonic,PT-MZ780 WU,Display,,,,University of Utah,Classroom,GC,GC 3153,3153,"Jan 01, 2019",2026
Magewell,USb Capture,Accessory,,,,University of Utah,Classroom,GC,GC 5490,5490,"Jan 01, 2019",2026
Crestron,Amp 3210T,Accessory,,,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.80.42.5,00.10.7f.d5.a9.6f,,University of Utah,Classroom,JFB,JFB B-1,B-1,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK,Camera,,,,University of Utah,Classroom,HSEB,HSEB 2958,2958,"Jan 01, 2019",2026
Crestron,TSW-770,User Interface,10.88.4.77,,,University of Utah,Classroom,GC,GC 1900,1900,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.2.180,00.10.7f.fa.6f.27,,University of Utah,Classroom,MLIB,MLIB 1715 - F,1715 - F,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.88.5.52,00.10.7f.a0.b9.e6,,University of Utah,Classroom,GC,GC 3660,3660,"Jan 01, 2019",2026
Panasonic,PT-VMZ71U,Display,,,,University of Utah,Classroom,GC,GC 5680,5680,"Jan 01, 2019",2026
Magewell,,Accessory,,,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.80.42.10,00.10.7F.D5.8F.74,,University of Utah,Classroom,JFB,JFB 101,101,"Jan 01, 2019",2026
Crestron,RMC3,Control Processor,10.72.36.215,00.10.7f.e0.5.b8,,University of Utah,Classroom,HSEB,HSEB 2968,2968,"Jan 01, 2019",2026
Crestron,DM-RMC-4K-Scaler-C,"TX, RX, Scaler",10.88.4.76,00.10.7f.a1.12.2a,,University of Utah,Classroom,GC,GC 1900,1900,"Jan 01, 2019",2026
Crestron,DMPS3-300-C,Control Processor,10.88.40.45,00.10.7f.e9.b2.02,,University of Utah,Classroom,BUC,BUC 208-F,208-F,"Jan 01, 2019",2026
Shure,MX202,Audio (Microphone),,,,University of Utah,Classroom,GC,GC 3680,3680,"Jan 01, 2019",2026
Crestron,TS-770,User Interface,10.80.34.152,c4.42.68.2a.54.ac,,University of Utah,Classroom,JTB,JTB 140,140,"Jan 01, 2019",2026
Vaddio,Universal CCU,Camera,,,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2008,"Jan 01, 2019",2026
Crestron,RMC4,Control Processor,10.72.37.20,c4.42.68.6d.61.10,,University of Utah,Classroom,HSEB,HSEB 4100A,4100A,"Jan 01, 2019",2026
Atlona,AT-HDVS-CAM-HDMI-BK-TVS-1,Camera,,,,University of Utah,Classroom,HSEB,HSEB 5100A,5100A,"Jan 01, 2019",2026
Rocware,RC821U,Camera,,,,University of Utah,Classroom,AEB,AEB 350 - F,350 - F,"Jan 01, 2019",2026
Logitech,Rally Bar,Camera,,,,University of Utah,Classroom,GC,GC 3015,3015,"Jan 01, 2019",2026
Crestron,Pro3,Control Processor,10.88.5.161,00.10.7f.a5.9d.19,,University of Utah,Classroom,GC,GC 5490,5490,"Jan 01, 2019",2026
Vaddio,Universal CCU,Camera,,,,University of Utah,Classroom,HEB,"HEB 2004, 2006, 2008 - F",2004,"Jan 01, 2019",2026
RM702,,Audio (Microphone),,,,University of Utah,Classroom,HSEB,HSEB 2680,2680,"Jan 01, 2019",2026
Crestron,TSW-760,User Interface,10.72.36.212,00.10.7f.de.88.2c,,University of Utah,Classroom,HSEB,HSEB 2962,2962,"Jan 01, 2019",2026
QSC,NC-12x80,Camera,,,,Clearvista,Conference Room,Headquarters,Experience Center,102,"Mar 10, 2026",2033
Extron,42-120-13,"Audio (Speaker, amplifier)",,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,258,"Oct 24, 2023",2030
Panasonic,PT-VMZ62,Display,,,U000613719,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR23202M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Panasonic,Panasonic PT-MZ682WU7,Display,,,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Yealink,MspeakerII,"Audio (Speaker, amplifier)",,,,Onset Financial,Conference Room,Draper Office,Executive Boardroom,,"Jun 09, 2025",2032
Sony,VPLPHZ51,Display,,,,Weber State University,Classroom,McKay Engineering,Room Group,229,"Oct 24, 2023",2030
Panasonic,PT-VMZ62,Display,,,U000613719,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR23202M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Panasonic,Panasonic PT-MZ682WU7,Display,,,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Yealink,YEA-MVC860-C5-000,Camera,,,,Onset Financial,Conference Room,St. George Office,3rd Floor Conf Room,,"Jul 28, 2025",2032
"Covid, Inc.",W1114P-W,Accessory,,,,Weber State University,Classroom,McKay Engineering,Room Group,229,"Oct 24, 2023",2030
Shure,MX202B/C,Audio (Microphone),,,U000613719,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR23202M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Rocware,ROCWARE RC821U,Camera,,,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Yealink,YEA-ROOMPANEL-PLUS,User Interface,,,,Onset Financial,Conference Room,St. George Office,3rd Floor Conf Room,,"Jul 28, 2025",2032
"Covid, Inc.",W1114P-W,Accessory,,,,Weber State University,Classroom,McKay Engineering,Room Group,236,"Oct 24, 2023",2030
,"8"" wide","Audio (Speaker, amplifier)",,,,University of Utah,Classroom,AEB,AEB 320,320,"Feb 10, 2026",2033
Videri,SR24302M,Display,,,110000004615 / RET-10464,Yaamava Resort & Casino,Digital Signage,Yaamava Theater,Lobby,200,"Jan 03, 2025",2032
Crestron,Crestron DM-NVX-E30C,"TX, RX, Scaler",192.168.0.155,c4.42.68.83.54.09,,University of Utah,Classroom,HSEB,HSEB 5100C ZR,5100C ZR,"Jan 01, 2019",2026
Lumens,VCTR30W,Camera,,,,Weber State University,Conference Room,McKay Engineering,Standard Conference Room,231,"Oct 24, 2023",2030
Da-Lite,70288,Accessory,,,,Weber State University,Classroom,McKay Engineering,Classrooms,322,"Oct 24, 2023",2030
